Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Chapter 1: When waking up,4 du'as,الحَمْـدُ لِلّهِ الّذي أَحْـيانا بَعْـدَ ما أَماتَـنا وَإليه النُّـشور,Alḥamdu lillāhil-ladhī 'aḥyānāba`da mā 'amātanāwa 'ilayhin-nushūr.,Praise is to Allah Who gives us life after He has caused us to die and to Him is the return.,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/113; Muslim 4/2083Hisnul Muslim 1"
Uncategorized,N/A,لا إلهَ إلاّ اللّهُ وَحْـدَهُ لا شَـريكَ له لهُ المُلـكُ ولهُ الحَمـد وهوَ على كلّ شيءٍ قدير سُـبْحانَ اللهِ والحمْـدُ لله ولا إلهَ إلاّ اللهُ واللهُ أكبَر وَلا حَولَ وَلا قوّة إلاّ باللّهِ العليّ العظيم رَبِّ اغْفرْ لي,"Lā 'ilāha 'illallāhu waḥdahu la sharīka lahu. lahul-mulku wa lahul-ḥamdu. wa huwa 'alā kulli shay'in qadīrSubḥānallāhi, walḥamdu lillāhi. wa lā 'ilāha 'illallāhu, wallāhu 'akbar. wa lā ḥaula wa lā quwwata 'illā billāhil-`aliyyil-`aẓīm. rabbighfir lī.","There is none worthy of worship but Allah alone, Who has no partner, His is the dominion and to Him belongs all praise, and He is able to do all things. Glory is to Allah. Praise is to Allah. There is none worthy of worship but Allah. Allah is the Most Great. There is no might and no power except by Allah's leave, the Exalted, the Mighty. My Lord, forgive me.","Reference:Whoever says this will be forgiven, and if he supplicates Allah, his prayer will be answered; if he performs ablution and prays, his prayer will be accepted. Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/39, among others. The wording here is from Ibn Majah 2/335.Hisnul Muslim 2"
Uncategorized,N/A,الحمدُ للهِ الذي عافاني في جَسَدي وَرَدّ عَليّ روحي وَأَذِنَ لي بِذِكْرِه,Al-ḥamdu lillāhil-ladhī`āfānī fī jasadī. wa radda `alayya rūḥī. wa 'adhina lī bidhikrihi.,Praise is to Allah who gave strength to my body and returned my soul to me and permitted me to remember Him.,Reference:At-Tirmidhi 5/473. See Al-Albani's Sahih Tirmidhi 3/144.Hisnul Muslim 3
Uncategorized,N/A,إِنَّ فِي خَلْقِ السَّمَوَاتِ وَالأَرْضِ وَاخْتِلاَفِ اللَّيْلِ وَالنَّهَارِ لآيَاتٍ لأُوْلِي الألْبَابِ {190} الَّذِينَ يَذْكُرُونَ اللهَ قِيَامًا وَقُعُودًا وَعَلَىَ جُنُوبِهِمْ وَيَتَفَكَّرُونَ فِي خَلْقِ السَّمَوَاتِ وَالأَرْضِ رَبَّنَا مَا خَلَقْتَ هَذا بَاطِلاً سُبْحَانَكَ فَقِنَا عَذَابَ النَّارِ {191} رَبَّنَا إِنَّكَ مَن تُدْخِلِ النَّارَ فَقَدْ أَخْزَيْتَهُ وَمَا لِلظَّالِمِينَ مِنْ أَنصَارٍ {192} رَّبَّنَا إِنَّنَا سَمِعْنَا مُنَادِيًا يُنَادِي لِلإِيمَانِ أَنْ ءامِنُواْ بِرَبِّكُمْ فَآمَنَّا رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا وَكَفِّرْ عَنَّا سَيِّئَاتِنَا وَتَوَفَّنَا مَعَ الأبْرَارِ {193} رَبَّنَا وَءاتِنَا مَا وَعَدتَّنَا عَلَى رُسُلِكَ وَلاَ تُخْزِنَا يَوْمَ الْقِيَامَةِ إِنَّكَ لاَ تُخْلِفُ الْمِيعَادَ {194} فَاسْتَجَابَ لَهُمْ رَبُّهُمْ أَنِّي لاَ أُضِيعُ عَمَلَ عَامِلٍ مِّنكُم مِّن ذَكَرٍ أَوْ أُنثَى بَعْضُكُم مِّن بَعْضٍ فَالَّذِينَ هَاجَرُواْ وَأُخْرِجُواْ مِن دِيَارِهِمْ وَأُوذُواْ فِي سَبِيلِي وَقَاتَلُواْ وَقُتِلُواْ لأُكَفِّرَنَّ عَنْهُمْ سَيِّئَاتِهِمْ وَلأُدْخِلَنَّهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الأَنْهَارُ ثَوَابًا مِّن عِندِ اللهِ وَاللهُ عِندَهُ حُسْنُ الثَّوَابِ {195} لاَ يَغُرَّنَّكَ تَقَلُّبُ الَّذِينَ كَفَرُواْ فِي الْبِلاَدِ {196} مَتَاعٌ قَلِيلٌ ثُمَّ مَأْوَاهُمْ جَهَنَّمُ وَبِئْسَ الْمِهَادُ {197} لَكِنِ الَّذِينَ اتَّقَوْاْ رَبَّهُمْ لَهُمْ جَنَّاتٌ تَجْرِي مِن تَحْتِهَا الأَنْهَارُ خَالِدِينَ فِيهَا نُزُلاً مِّنْ عِندِ اللهِ وَمَا عِندَ اللهِ خَيْرٌ لِّلأَبْرَارِ {198} وَإِنَّ مِنْ أَهْلِ الْكِتَابِ لَمَن يُؤْمِنُ بِاللهِ وَمَا أُنزِلَ إِلَيْكُمْ وَمَآ أُنزِلَ إِلَيْهِمْ خَاشِعِينَ للهِ لاَ يَشْتَرُونَ بِآيَاتِ اللهِ ثَمَنًا قَلِيلاً أُوْلَئِكَ لَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ إِنَّ اللهَ سَرِيعُ الْحِسَابِ {199} يَا أَيُّهَا الَّذِينَ ءامَنُواْ اصْبِرُواْ وَصَابِرُواْ وَرَابِطُواْ وَاتَّقُواْ اللهَ لَعَلَّكُمْ تُفْلِحُونَ {200},Inna fī khalqi-ssamāwāti wal-'arđi wakhtilāfi-llayli wan-nahāri la'āyātin li'wlī-l-'albāb. Al-ladhīna yadhkurūna-allaha qiyāman wa qu`ūdan wa `alā junūbihim wa yatafakkarūna fī Khalqi-ssamāwāti wal-'arđi rabbanā mā khalaqta hādhā bāţilāan subĥānaka faqinā `adhāban-nār. Rabbanā 'innaka man tudkhili-nnāra faqad 'akhzaytahu wa mā li-žžālimīna min 'anşārin. Rabbanā 'innanā sami`nā munādīan yunādī lil'īmāni 'an 'āminū birabbikum fa 'āmannā. Rabbanā fāghfirlanā dhunūbanā wa kaffir `annā sayyi'ātinā wa tawaffanā ma`a al-'abrāri. Rabbanā wa 'ātinā mā wa`adtanā `alá rusulika wa lā tukhzinā yawmal-qiyāmati 'innaka lā tukhliful-mī`ād. Fāstajāba lahum rabbuhum 'annī lā 'uđī`u `amala `āmilin minkum min dhakarin 'aw 'unthá ba`đukum min ba`đin fa-lladhīna hājarū wa 'ukhrijū min diyārihim wa 'ūdhū fī sabīlī wa qātalū wa qutilū la'ukaffiranna `anhum sayyi'ātihim wa la'udkhilannahum jannātin tajrī min taĥtihāl-'anhāru thawāban min `indil-lahi wal-lāhu `indahu ĥusnuth-thawāb. Lā yaghurrannaka taqallubu 'l-ladhīna kafarū fī l-bilādi. Matā`un qalīlun thumma ma'wāhum jahannamu wa bi'sa 'l-mihād. Lakini 'l-ladhīna 'ttaqaw rabbahum lahum jannātun tajrī min taĥtihā 'l-'anhāru khālidīna fīhā nuzulan min `indi 'l-lahi wa mā `inda 'llahi khayrun li 'l-abrār. Wa 'inna min 'ahli 'l-kitābi laman yu'minu bil-lahi wa mā 'unzila 'ilaykum wa mā 'unzila 'ilayhim khāshi`īna lillahi lā yashtarūna bi'āyāti 'l-lahi thamanan qalīlāan 'ulā'ika lahum 'ajruhum `inda rabbihim 'inna 'l-laha sarī`u al-ĥisāb. Yā 'ayyuhā 'l-ladhīna 'āmanū-şbirū wa şābirū wa rābiţū wa 'ttaqu 'l-laha la`allakum tufliĥūn.,"Indeed, in the creation of the heavens and the earth and the alternation of the day and night there are signs for people of reason.˹They are˺ those who remember Allah while standing, sitting, and lying on their sides, and reflect on the creation of the heavens and the earth ˹and pray˺, “Our Lord! You have not created ˹all of˺ this without purpose. Glory be to You! Protect us from the torment of the Fire. Our Lord! Indeed, those You commit to the Fire will be ˹completely˺ disgraced! And the wrongdoers will have no helpers. Our Lord! We have heard the caller to ˹true˺ belief, ˹proclaiming,˺ ‘Believe in your Lord ˹alone˺,’ so we believed. Our Lord! Forgive our sins, absolve us of our misdeeds, and allow us ˹each˺ to die as one of the virtuous. Our Lord! Grant us what You have promised us through Your messengers and do not put us to shame on Judgment Day—for certainly You never fail in Your promise.”So their Lord responded to them: “I will never deny any of you—male or female—the reward of your deeds. Both are equal in reward. Those who migrated or were expelled from their homes, and were persecuted for My sake and fought and ˹some˺ were martyred—I will certainly forgive their sins and admit them into Gardens under which rivers flow, as a reward from Allah. And with Allah is the finest reward!”Do not be deceived by the prosperity of the disbelievers throughout the land. It is only a brief enjoyment. Then Hell will be their home—what an evil place to rest! But those who are mindful of their Lord will be in Gardens under which rivers flow, to stay there forever—as an accommodation from Allah. And what is with Allah is best for the virtuous. Indeed, there are some among the People of the Book who truly believe in Allah and what has been revealed to you ˹believers˺ and what was revealed to them. They humble themselves before Allah—never trading Allah’s revelations for a fleeting gain. Their reward is with their Lord. Surely Allah is swift in reckoning. O believers! Patiently endure, persevere, stand on guard, and be mindful of Allah, so you may be successful.","Reference:Qur'an Al-Imran 3: 190-200; Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 8/237; Muslim 1/530.Hisnul Muslim 4"
Chapter 2: When wearing a garment,1 du'as,الحمدُ للهِ الّذي كَساني هذا (الثّوب) وَرَزَقَنيه مِنْ غَـيـْرِ حَولٍ مِنّي وَلا قـوّة,Alḥamdu lillāhil-ladhī kasānī hādhā (aththawba) wa razaqanīhi min ghayri hawlim-minnī wa lā quwwah.,"Praise is to Allah Who has clothed me with this (garment) and provided it for me, though I was powerless myself and incapable","Reference:Al-Bukhari, Muslim, Abu Dawud, Ibn Majah, At-Tirmidhi. See also 'Irwa'ul-Ghalil 7/47.Hisnul Muslim 5"
Chapter 3: When wearing a new garment,1 du'as,اللّهُـمَّ لَـكَ الحَـمْـدُ أنْـتَ كَسَـوْتَنيهِ أََسْأََلُـكَ مِـنْ خَـيرِهِ وَخَـيْرِ مَا صُنِعَ لَـه وَأَعوذُ بِكَ مِـنْ شَـرِّهِ وَشَـرِّ مـا صُنِعَ لَـهُ,"Allāhumma lakal-ḥamdu 'anta kasawtanīhi,'as'aluka min khayrihi wa khayri mā ṣuni`a lahu. wa 'a`oothu bika min sharrihi wa sharri mā ṣuni`a lahu.","O Allah, praise is to You. You have clothed me. I ask You for its goodness and the goodness of what it has been made for, and I seek Your protection from the evil of it and the evil of what it has been made for.","Reference:Abu Dawud and At-Tirmidhi. See also Al-Albani, Mukhtasar Shama'il At-Tirmidhi, p. 47.Hisnul Muslim 6"
Chapter 4: To someone wearing a new garment,2 du'as,تُبْـلي وَيُـخْلِفُ اللهُ تَعَالى,Tublī wa yukhliful-lāhu ta`ālā.,May Allah replace it when it is worn out.,Reference:Abu Dawud 4/41. See also Al-Albani Sahih Abu Dawud 2/760.Hisnul Muslim 7
Uncategorized,N/A,اِلبَـس جَديـداً وَعِـشْ حَمـيداً وَمُـتْ شهيداً,Ilbas jadīdan. wa `ish ḥamīdan. wa mut shahīdan.,"Put on new clothes, live a praise-worthy life and die as a martyr.","Reference:Ibn Majah 2/1178, Al-Baghawi 12/41. See also Al-Albani, Sahih Ibn Majah 2/275Hisnul Muslim 8"
Chapter 5: Before undressing,1 du'as,بِسْمِ الله,Bismillāhi,In the Name of Allah.,"Reference:At-Tirmidhi 2/505, among others. See 'Irwa'ul Ghalil no. 49 and Sahihul-Jami' 3/203Hisnul Muslim 9"
Chapter 6: Before entering the bathroom,1 du'as,(بِسْمِ الله) اللّهُـمَّ إِنِّـي أَعـوذُ بِـكَ مِـنَ الْخُـبْثِ وَالْخَبائِث,[Bismillāhi] Allāhumma 'innī 'a`ūdhu bika minal-khubthi walkhabā'ith.,"[In the Name of Allah]. O Allah, I seek protection in You from evil and the evil ones (or, from the evil male and female Jinn).","Reference:Al-Bukhari 1/45, Muslim 1/283. The addition of Bismillah at its beginning was reported by Said bin Mansur. See Fathul-Bari 1/244Hisnul Muslim 10"
